Jour,Heure,Donnée,Valeur
2014-12-09,20:41:11,interieur,24.7
2014-12-09,20:41:13,interieur,24.7
2014-12-09,20:41:15,interieur,24.7
2014-12-09,20:41:18,interieur,24.7
2014-12-09,20:41:20,interieur,24.7
2014-12-09,20:41:22,interieur,24.7
2014-12-09,20:41:24,interieur,24.7
2014-12-09,20:41:26,interieur,24.7
2014-12-09,20:41:28,interieur,24.7
2014-12-09,20:41:30,interieur,24.7
2014-12-09,20:41:32,interieur,24.8
2014-12-09,20:41:34,interieur,24.7
2014-12-09,20:41:36,interieur,24.8
2014-12-09,20:41:38,interieur,24.7
2014-12-09,20:41:40,interieur,24.7
2014-12-09,20:41:42,interieur,24.7
2014-12-09,20:41:44,interieur,24.7
2014-12-09,20:41:46,interieur,24.7
2014-12-09,20:41:48,interieur,24.8
2014-12-09,20:41:50,interieur,24.7
2014-12-09,20:41:52,interieur,24.7
2014-12-09,20:41:54,interieur,24.8
2014-12-09,20:41:56,interieur,24.8
2014-12-09,20:41:58,interieur,24.7
2014-12-09,20:42:00,interieur,24.8
2014-12-09,20:42:02,interieur,24.8
2014-12-09,20:42:04,interieur,24.8
2014-12-09,20:42:06,interieur,24.8
2014-12-09,20:42:08,interieur,24.8
2014-12-09,20:42:10,interieur,24.8
2014-12-09,20:42:12,interieur,24.8
2014-12-09,20:42:14,interieur,24.8
2014-12-09,20:42:16,interieur,24.8
2014-12-09,20:42:18,interieur,24.8
2014-12-09,20:42:20,interieur,24.8
2014-12-09,20:42:22,interieur,24.8
2014-12-09,20:42:24,interieur,24.8
2014-12-09,20:42:26,interieur,24.8
2014-12-09,20:42:28,interieur,24.8
2014-12-09,20:42:30,interieur,24.8
2014-12-09,20:42:42,interieur,24.8
2014-12-09,20:42:44,interieur,24.8
2014-12-09,20:42:46,interieur,24.8
2014-12-09,20:42:48,interieur,24.8
2014-12-09,20:42:50,interieur,24.8
2014-12-09,20:42:52,interieur,24.8
2014-12-09,20:42:54,interieur,24.8
2014-12-09,20:42:56,interieur,24.8
2014-12-09,20:42:58,interieur,24.8
2014-12-09,20:43:00,interieur,24.8
2014-12-09,20:43:02,interieur,24.8
2014-12-09,20:43:04,interieur,24.8
2014-12-09,20:43:06,interieur,24.8
2014-12-09,20:43:08,interieur,24.8
2014-12-09,20:43:10,interieur,24.8
2014-12-09,20:43:12,interieur,24.8
2014-12-09,20:43:14,interieur,24.8
2014-12-09,20:43:16,interieur,24.8
2014-12-09,20:43:19,interieur,24.8
2014-12-09,20:43:20,interieur,24.8
2014-12-09,20:43:22,interieur,24.8
2014-12-09,20:43:31,interieur,24.8
2014-12-09,20:43:33,interieur,24.8
2014-12-09,20:43:35,interieur,24.8
2014-12-09,20:43:37,interieur,24.8
2014-12-09,20:43:39,interieur,24.8
2014-12-09,20:43:41,interieur,24.8
2014-12-09,20:43:43,interieur,24.8
2014-12-09,20:43:45,interieur,24.8
2014-12-09,20:43:47,interieur,24.8
2014-12-09,20:43:49,interieur,24.8
2014-12-09,20:43:51,interieur,24.8
2014-12-09,20:43:53,interieur,24.8
2014-12-09,20:43:55,interieur,24.8
2014-12-09,20:43:57,interieur,24.8
2014-12-09,20:43:59,interieur,24.8
2014-12-09,20:44:01,interieur,24.8
2014-12-09,20:44:03,interieur,24.8
